Name,Position,Team,Price,1,2,3,4,5,6
Grealish,Midfielder,Aston Villa,7.4,4.7,3.8,5,3.4,4.5,4.7
Ward-Prowse,Midfielder,Southampton,5.9,3.1,3.3,3.8,4.1,3.3,3.2
Ziyech,Midfielder,Chelsea,8.1,5.6,3.6,5.8,4.3,3.3,5.1
Watkins,Forward,Aston Villa,6,4.6,3.7,4.4,3.3,4.1,4.6
Bamford,Forward,Leeds,6,4.1,4.1,4,4.4,4.9,3.5
Semedo,Defender,Wolves,5.5,3.9,3.4,3.6,4.4,3.9,4.6
Mings,Defender,Aston Villa,5.2,3.8,2.3,3.5,2.5,4,3.6
Zouma,Defender,Chelsea,5.3,3.2,2.6,3.8,2.7,2.9,3.1
Lamptey,Defender,Brighton,4.7,3,3.3,3.1,2.5,4.1,5
Fornals,Midfielder,West Ham,6.4,3.3,3.3,2.8,3.2,3.2,2.8
Walker-Peters,Defender,Southampton,4.5,2.3,2,3.2,3.9,2.2,1.8
McCarthy,Goalkeeper,Southampton,4.5,3.4,3.4,3.9,4.6,3,3.2
Martinez,Goalkeeper,Aston Villa,4.8,3.7,2.6,3.6,2.8,3.9,3.8
Coufal,Defender,West Ham,4.5,3.7,3.3,2.4,3,3.4,2.2
Neto,Midfielder,Wolves,5.5,3,2.5,2.9,3.2,3,2.9
Dallas,Defender,Leeds,4.5,2.2,2,1.5,2.2,3.1,1.2
Dias,Defender,Man City,5.5,2.8,4.5,4.7,2.8,5,2.9
Cancelo,Defender,Man City,5.4,2.7,4.5,4.9,2.8,4.9,2.9
Meslier,Goalkeeper,Leeds,4.5,3,2.8,2.5,3,3.6,3
McGinn,Midfielder,Aston Villa,5.5,3.5,2.9,3.6,2.8,3.6,3.8
Bowen,Midfielder,West Ham,6.3,3.8,4.1,3.5,4.3,4.3,3.5
Werner,Forward,Chelsea,9.4,4.5,4,5.6,4.3,3.5,4.8
Patricio,Goalkeeper,Wolves,5.5,3.9,3.8,4.2,4.2,4.1,4.7
Kilman,Defender,Wolves,4.3,2.6,2.2,2.4,2.9,2.5,3.3
James,Defender,Chelsea,5,3,2.5,3.5,2.4,2.5,2.6
ThiagoSilva,Defender,Chelsea,5.5,3.3,2.7,3.7,2.6,2.9,3.1
Kane,Forward,Spurs,11,5,5.2,5.7,5.7,5.2,5.7
Zaha,Midfielder,Crystal Palace,7.4,4.2,4.6,4.7,3.6,3.7,4
Masuaku,Defender,West Ham,4.5,4,3.5,2.5,3.1,3.5,2.1
Forster,Goalkeeper,Southampton,4,0,0,0,0,0,0
Lloris,Goalkeeper,Spurs,5.5,4.3,3.6,4,4.2,4.3,4.4
Coady,Defender,Wolves,5,3.1,3,3,3.6,3.2,4.2
Mendy,Goalkeeper,Chelsea,5.1,2.7,2.4,3,2.2,2.6,2.6
Riedewald,Midfielder,Crystal Palace,4.4,1.7,1.8,1.8,1.5,1.6,1.7
Bale,Midfielder,Spurs,9.5,0.9,0.9,1,1,1,1
Mendy,Midfielder,Leicester,4.5,2.3,2.9,2.3,2.5,2.6,2.1
Boly,Defender,Wolves,5.5,3.4,3.2,3.2,3.9,3.5,4.3
Mane,Midfielder,Liverpool,12,4.6,4.7,4.5,5.9,4.3,4.8
Darlow,Goalkeeper,Newcastle,5,3.4,2.8,3.7,4.9,4.1,4.7
Partey,Midfielder,Arsenal,5,2.8,2.4,2.1,2.9,2.7,2.5
OriolRomeu,Midfielder,Southampton,4.5,2.3,2.5,2.8,3.3,2.4,2.5
Ayling,Defender,Leeds,4.5,2.4,2.1,1.6,2.4,3.3,1.3
Targett,Defender,Aston Villa,4.5,3.5,2.3,3.3,2.5,3.8,3.4
Balbuena,Defender,West Ham,4.4,2.8,2.5,1.8,2.4,2.5,1.6
Bellerin,Defender,Arsenal,5.1,3,3.3,2.2,4.1,2.9,2.8
Fernandes,Midfielder,Man Utd,10.5,8.7,5.8,5.9,5.2,6.1,8.6
Leno,Goalkeeper,Arsenal,5,4.4,4.5,3.5,5,4,4
Reguilon,Defender,Spurs,5.6,2.3,2,2.6,2.9,2.5,2.7
Martin,Goalkeeper,West Ham,4,0,0,0,0.1,0,0
Casey,Defender,Leeds,3.9,0,0,0,0,0,0
AitNouri,Defender,Wolves,5,3,2.5,2.7,3.5,2.9,3.6
Keane,Defender,Everton,5.1,3.2,3.5,3.3,2.4,2.2,2.9
Verrips,Goalkeeper,Sheffield Utd,4,0,0,0,0,0,0
Ederson,Goalkeeper,Man City,6,3.5,5,5.1,4,5.2,3.6
Clyne,Defender,Crystal Palace,4.5,3.3,2.3,2.3,1.6,1.6,1.8
Caprile,Goalkeeper,Leeds,4,0,0,0,0,0,0
Maguire,Defender,Man Utd,5.4,5.2,3.1,3.2,2.9,4.5,4.5
Cavani,Forward,Man Utd,8,0.6,0.5,0.5,0.4,0.5,0.6
Jagielka,Defender,Sheffield Utd,4,0,0,0,0,0,0
Maddison,Midfielder,Leicester,7,1.9,2.9,2.1,2.1,2.2,1.4
Fofana,Defender,Leicester,5,1.9,2.9,2.8,2.8,2.5,1.6
Vestergaard,Defender,Southampton,4.7,2.7,2.1,3.2,4.3,2.4,1.9
CallumRobinson,Forward,West Brom,5.5,1.5,1.9,1.8,1.7,1.4,1.9
Woods,Defender,Crystal Palace,4,0,0,0,0,0,0
Bernardo,Defender,Brighton,3.9,0.5,0.1,0.3,0.1,0.2,0.2
Calvert-Lewin,Forward,Everton,7.8,5.1,5.7,4.4,4.9,3.9,4.2
Kouyate,Midfielder,Crystal Palace,5,2.3,2.4,2.3,2.1,2.1,2.1
Areola,Goalkeeper,Fulham,4.5,3.2,2.8,2.8,3.6,3.5,2.9
Nkounkou,Defender,Everton,4,0.9,1,0.9,0.6,0.6,0.8
Koch,Defender,Leeds,4.5,2.4,2.1,1.5,2.3,3.3,1.3
Elneny,Midfielder,Arsenal,4.4,1.7,1.6,1.4,1.8,1.6,1.5
Jota,Midfielder,Liverpool,6.5,2,2,1.9,2.4,1.9,2
Aina,Defender,Fulham,4.5,2.2,1.4,0.8,1.7,2.8,2.2
Johnstone,Goalkeeper,West Brom,4.5,3.2,4.3,3.3,3.4,3.2,3.5
Jesus,Forward,Man City,9.3,3.8,3.8,5,2.9,4.8,3.6
Armstrong,Midfielder,Southampton,5.5,3.1,3,3.6,3.9,3.1,3
Haller,Forward,West Ham,6.1,3,1.4,1.2,1.4,1.4,1.3
Tuanzebe,Defender,Man Utd,4.5,0.3,0.2,0.1,0.3,0.4,0.2
Barkley,Midfielder,Aston Villa,6,3.7,3.1,3.7,3.1,3.7,4
Gomez,Defender,Liverpool,5.4,2.7,3,3,3.6,2.4,2.5
Praet,Midfielder,Leicester,5.5,2.5,3.3,2.9,3,3.2,2.2
Henderson,Goalkeeper,Crystal Palace,4,0,0,0,0,0,0
Anguissa,Midfielder,Fulham,4.5,2.5,2.2,2.1,2.3,2.7,2.4
Ivanovic,Defender,West Brom,4.5,0,2.8,2,1.9,0.8,2
NecoWilliams,Defender,Liverpool,3.9,2.7,3,2.8,3.5,2.4,2.5
Walcott,Midfielder,Southampton,5.8,2.4,2.6,2.9,3.3,2.5,2.5
Dier,Defender,Spurs,4.9,2.8,2.6,3.5,3.4,2.9,3.4
Abraham,Forward,Chelsea,7.2,3.2,2,2.6,2.1,1.7,2.2
Benrahma,Midfielder,West Ham,6,0.5,0.4,0.4,0.5,0.6,0.4
Alzate,Midfielder,Brighton,4.5,1,1.1,1.1,1,1.2,1.3
Fabianski,Goalkeeper,West Ham,5,4.7,4.2,3.3,4,4.2,3.3
Cash,Defender,Aston Villa,5,3.5,2,3.1,2.3,3.5,3.3
Eze,Midfielder,Crystal Palace,5.8,1.6,1.7,1.7,1.4,1.5,1.6
Bissouma,Midfielder,Brighton,4.5,2.5,2.7,2.7,2.4,3,3.3
Ndombele,Midfielder,Spurs,5.9,1.6,2.1,2.2,2.2,2.1,2.1
Fuchs,Defender,Leicester,4.5,1.3,2,1.8,1.9,1.7,1.2
Norris,Goalkeeper,Burnley,4,0.1,0.1,0.2,0.1,0,0.1
Tella,Midfielder,Southampton,4.4,0.3,0.4,0.4,0.4,0.3,0.3
Dann,Defender,Crystal Palace,4.4,2.9,2.9,3.3,2.2,2.2,2.2
Ogbonna,Defender,West Ham,4.9,1.1,3.1,2.4,3.1,3.4,2.2
Veltman,Defender,Brighton,4.3,1.1,1.2,1.1,1.1,1.8,2.1
SmithRowe,Midfielder,Arsenal,4.4,0.2,0.1,0.1,0.2,0.2,0.1
Struijk,Defender,Leeds,4,1.1,1,0.7,1,1.4,0.7
Hojbjerg,Midfielder,Spurs,4.9,1.2,1.7,2.1,1.3,2.1,1.5
N'Lundulu,Forward,Southampton,4.5,2.5,2.5,2.7,2.7,2.6,2.6
Torres,Midfielder,Man City,6.9,0,0,0,0,0,0
Godfrey,Defender,Everton,5,1.9,2,2,1.6,1.4,2
Under,Midfielder,Leicester,5.9,0.4,0.5,0.4,0.4,0.4,0.4
Steele,Goalkeeper,Brighton,4,0,0,0,0,0,0
Slimani,Forward,Leicester,5,0.5,0.6,0.5,0.5,0.5,0.4
Ayew,Forward,Crystal Palace,5.7,2.7,3.1,3,2.4,2.6,2.7
Berge,Midfielder,Sheffield Utd,5,2.7,3,2.7,2.4,2.6,2.7
Mengi,Defender,Man Utd,3.9,0,0,0,0,0,0
Harper,Midfielder,West Brom,4.4,0.2,0.2,0.2,0.2,0.2,0.2
James,Midfielder,Leicester,4.3,0,0,0,0,0,0
Lanzini,Midfielder,West Ham,6.4,0.4,0.4,0.4,0.4,0.4,0.4
Jones,Midfielder,Liverpool,4.4,0.5,0.5,0.5,0.6,0.5,0.5
Sakho,Defender,Crystal Palace,4.5,1.3,1.4,1.4,1,1,1.1
Thomas,Defender,Burnley,4,0,0,0,0,0,0
Olsen,Goalkeeper,Everton,4.5,0.6,1,0.7,1.3,1.3,0.7
Fabri,Goalkeeper,Fulham,4,0,0,0,0,0,0
Townsend,Defender,West Brom,4.5,1.1,3.1,2.3,2.3,0.9,2.3
Cairney,Midfielder,Fulham,5.3,2.5,2.2,2,2.3,2.6,2.4
Evans,Defender,Leicester,5.5,2.8,4,3.8,4,3.4,2.2
Fred,Midfielder,Man Utd,5.3,2.1,1.4,1.7,1.6,1.6,2.1
MacAllister,Midfielder,Brighton,5.3,0.7,0.5,0.5,0.5,0.6,0.6
Furlong,Defender,West Brom,4.5,0.9,2.6,2,2.1,0.7,2
Ziger,Goalkeeper,Chelsea,4,0,0,0,0,0,0
Doyle,Midfielder,Man City,4.4,0,0,0,0,0,0
DouglasLuiz,Midfielder,Aston Villa,4.9,2.8,2.4,2.7,2.3,2.9,2.9
McTominay,Midfielder,Man Utd,4.9,2.8,2.1,1.9,1.8,2.1,2.5
Peacock-Farrell,Goalkeeper,Burnley,4,0,0,0,0,0,0
Cahill,Defender,Crystal Palace,4.5,1.6,1.9,1.8,1.5,1.3,1.5
Bernard,Midfielder,Everton,5.8,0.9,1,0.8,0.8,0.7,0.8
Holding,Defender,Arsenal,4.4,2.1,2.4,1.7,3,2.1,2.1
Bardsley,Defender,Burnley,4.5,1.6,1.3,2.6,1.8,2,2.6
Richarlison,Forward,Everton,7.8,3.5,3.8,3,3.3,2.7,2.9
RhysWilliams,Defender,Liverpool,4,0,0,0,0,0,0
Djenepo,Midfielder,Southampton,5.4,1.8,1.9,2.1,2.5,1.8,1.9
Kebano,Midfielder,Fulham,4.8,0.9,0.8,0.7,0.8,0.9,0.8
Dunk,Defender,Brighton,4.8,2.6,3,2.8,2.3,3.7,4.6
Martial,Forward,Man Utd,8.7,5.6,4.3,3.8,3.4,3.9,5.3
Ampadu,Defender,Sheffield Utd,4.4,1.3,1.5,1.2,0.9,1.1,1.3
Cooper,Defender,Leeds,4.4,2.5,2.2,1.7,2.4,3.3,1.4
Bogle,Defender,Sheffield Utd,4.3,0.2,0.2,0.1,0.1,0,0.2
Rose,Defender,Spurs,4.7,0,0,0,0,0,0
Bonatini,Forward,Wolves,4.8,0,0,0,0,0,0
Snodgrass,Midfielder,West Ham,5.7,0.3,0.2,0.1,0.2,0.1,0.2
Odoi,Defender,Fulham,4.3,0.9,0.5,0.3,0.7,1.1,0.8
Vokins,Defender,Southampton,4,0.3,0.1,0.1,0.1,0.1,0.1
Brewster,Forward,Sheffield Utd,4.5,3.6,4,3.7,3,3.8,3.4
Ramsdale,Goalkeeper,Sheffield Utd,4.8,2.4,2.6,2.3,2.3,2.4,2.3
Trezeguet,Midfielder,Aston Villa,5.3,3.4,2.6,3.1,2.4,3.1,3.1
Coleman,Defender,Everton,4.9,3.6,3.7,3.4,2.5,2.4,3.1
Button,Goalkeeper,West Brom,4,0,0,0,0,0,0
Taylor,Defender,Aston Villa,4.3,0.3,0.2,0.2,0.2,0.3,0.3
Kenny,Defender,Everton,4.3,1,1.1,1,0.7,0.7,0.9
Steer,Goalkeeper,Aston Villa,4,0.4,0.1,0.1,0.1,0.2,0.1
Lewis,Defender,Newcastle,4.3,2.4,2.6,2.5,4.1,2.8,4.2
Matic,Midfielder,Man Utd,4.8,1.3,1.1,1,1,1.1,1.2
JackRobinson,Defender,Sheffield Utd,4.4,1.1,1.2,1,0.7,0.9,1.1
Sessegnon,Defender,Spurs,4.7,0,0,0,0,0,0
O'Shea,Defender,West Brom,4.3,0.8,2.4,1.8,1.8,0.7,1.8
Diangana,Midfielder,West Brom,5.4,2.2,3.3,2.9,2.7,2.1,3
Jimenez,Forward,Wolves,8.4,4.5,3.8,3.8,5,4.3,4
Diop,Defender,West Ham,4.4,1,0.9,0.7,0.9,1,0.6
Stones,Defender,Man City,4.8,0.5,0.8,0.8,0.5,0.8,0.5
Pickford,Goalkeeper,Everton,4.9,3.3,3.4,3.2,3,2,2.8
Lundstram,Midfielder,Sheffield Utd,5.1,2.5,2.7,2.4,2.1,2.4,2.2
AndreGomes,Midfielder,Everton,5.4,2.2,2.1,1.9,1.6,1.6,1.6
Kamara,Midfielder,Fulham,4.8,0,0.8,0.7,0.8,1,0.8
Mitrovic,Forward,Fulham,5.7,3.9,3.3,2.8,3.4,3.6,3.4
Egan,Defender,Sheffield Utd,4.8,2.9,3.3,2.8,1.9,2.4,2.9
BernardoSilva,Midfielder,Man City,7.4,2.2,2.7,3.5,2.1,3,2.5
Pulisic,Midfielder,Chelsea,8.2,0,2.5,3.4,2.6,2.2,2.8
Dunne,Defender,Burnley,4,0.8,0.5,0.8,0.6,0.7,0.8
Alonso,Defender,Chelsea,5.7,2.7,2.2,3,2.1,2.3,2.5
Garner,Midfielder,Man Utd,4.4,0,0,0,0,0,0
Kovacic,Midfielder,Chelsea,5.3,1.1,1.8,2.5,2,2.1,2.1
vandeBeek,Midfielder,Man Utd,6.7,0.5,0.4,0.4,0.3,0.4,0.4
Robson-Kanu,Forward,West Brom,5.2,0,0.6,0.6,0.6,0.5,0.6
Gilmour,Midfielder,Chelsea,4.4,0,0.4,0.5,0.4,0.4,0.4
Saiss,Defender,Wolves,5.2,0,0.4,0.5,0.4,0.4,0.4
Traore,Midfielder,Wolves,6.2,1.5,1.3,1.4,1.6,1.5,1.4
Gros,Midfielder,Brighton,5.8,2,1.5,1.5,1.1,1.6,1.7
Soyuncu,Defender,Leicester,5.3,2.6,4,3.7,3.8,3.3,2.2
Nketiah,Forward,Arsenal,5.6,1,0.9,0.8,1,1,0.9
Zinchenko,Defender,Man City,5.5,0.3,0.3,0.3,0.2,0.4,0.2
Pope,Goalkeeper,Burnley,5.4,4.1,3.6,3.9,3.5,3.8,4.1
Townsend,Midfielder,Crystal Palace,5.9,0.4,0.3,0.4,0.4,0.2,0.2
Origi,Forward,Liverpool,5.2,3.3,3.8,3.8,3,2.9,3.4
Adrian,Goalkeeper,Liverpool,4.4,0.7,0.8,0.7,0.8,0.6,0.6
Cavaleiro,Midfielder,Fulham,5.3,1.9,1.6,1.4,1.7,1.8,1.7
vanDijk,Defender,Liverpool,6.3,0,0,0,0,0,0
Hegazi,Defender,West Brom,4.2,0,0,0,0,0,0
Ward,Goalkeeper,Leicester,4.4,0,0,0,0,0,0
Norwood,Midfielder,Sheffield Utd,4.7,1,1.2,1.1,0.9,1,1.1
Foyth,Defender,Spurs,4.3,0,0,0,0,0,0
Pieters,Defender,Burnley,4.3,0,0.7,1.1,0.9,1,1.2
Guendouzi,Midfielder,Arsenal,4.7,0,0,0,0,0,0
Gillespie,Goalkeeper,Newcastle,4.4,0,0,0,0,0,0
Saint-Maximin,Midfielder,Newcastle,5.3,3.5,3.6,3.6,4.4,3.6,4.5
Hendrick,Midfielder,Newcastle,4.9,3.2,3.1,3.2,3.8,3.2,3.7
Hayden,Midfielder,Newcastle,4.8,1.4,1.4,1.4,1.6,1.4,1.6
Obafemi,Forward,Southampton,4.7,0.5,0.7,0.6,0.9,0.8,0.7
Randolph,Goalkeeper,West Ham,4.4,0,0,0,0,0,0
Lowton,Defender,Burnley,4.4,1.7,1,1.6,1.3,1.4,1.8
Azpilicueta,Defender,Chelsea,5.8,1.6,1.3,1.9,1.3,1.3,1.5
Podence,Midfielder,Wolves,5.5,3,2.5,2.9,3.3,3,2.9
