Name,Position,Team,Price,1,2,3,4,5,6
Grealish,Midfielder,Aston Villa,7.4,4.7,3.8,5,3.4,4.5,4.7
Kane,Forward,Spurs,11,5,5.2,5.7,5.7,5.2,5.7
Lamptey,Defender,Brighton,4.7,3,3.3,3.1,2.5,4.1,5
Pope,Goalkeeper,Burnley,5.4,4.1,3.6,3.9,3.5,3.8,4.1
Maddison,Midfielder,Leicester,7,1.9,2.9,2.1,2.1,2.2,1.4
Reguilon,Defender,Spurs,5.6,2.3,2,2.6,2.9,2.5,2.7
Soyuncu,Defender,Leicester,5.3,2.6,4,3.7,3.8,3.3,2.2
Konsa,Defender,Aston Villa,4.7,3.6,2.2,3.3,2.5,3.6,3.4
Benrahma,Midfielder,West Ham,6,0.5,0.4,0.4,0.5,0.6,0.4
Tierney,Defender,Arsenal,5.4,1.5,0.9,1.3,1.6,0.9,0.8
Eze,Midfielder,Crystal Palace,5.8,1.6,1.7,1.7,1.4,1.5,1.6
Sterling,Midfielder,Man City,11.5,3.9,5.1,6.8,3.9,6.6,4.7
Richarlison,Forward,Everton,7.8,3.5,3.8,3,3.3,2.7,2.9
Firmino,Forward,Liverpool,9.2,3.1,3.2,3.1,3.8,3,3.2
Caballero,Goalkeeper,Chelsea,4.8,0.4,0.4,0.5,0.4,0.4,0.4
